INFO 2025-03-08 01:57:33,084 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 01:57:33,338 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1738459698.9945493
DEBUG 2025-03-08 01:57:33,339 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,339 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\flask\wrappers.py first seen with mtime 1739926557.5948415
DEBUG 2025-03-08 01:57:33,339 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_itertools.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,339 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\cffi\lock.py first seen with mtime 1719199174.1134453
DEBUG 2025-03-08 01:57:33,339 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\request.py first seen with mtime 1738459699.065844
DEBUG 2025-03-08 01:57:33,340 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1738459699.0817378
DEBUG 2025-03-08 01:57:33,340 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,340 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1738459699.103289
DEBUG 2025-03-08 01:57:33,340 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1738459699.0945506
DEBUG 2025-03-08 01:57:33,340 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\defaults.py first seen with mtime 1719199159.9772816
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\werkzeug\datastructures\auth.py first seen with mtime 1739926556.6896508
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1738459698.9874938
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\runtime.py first seen with mtime 1719199159.9863641
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\secrets.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\zipfile\_path\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,341 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1717718102.0
DEBUG 2025-03-08 01:57:33,342 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\threading.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,342 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\trsock.py first seen with mtime 1717718052.0
